ParliamentNumber,SessionNumber,DecisionEventDateTime,DecisionDivisionNumber,PersonShortSalutation,ConstituencyName,VoteValueName,PersonOfficialFirstName,PersonOfficialLastName,ConstituencyProvinceTerritoryName,CaucusShortName,IsVoteYea,IsVoteNay,IsVotePaired,DecisionResultName,PersonId
44,1,2022-03-24T18:13:00,47,Ms.,Saint-Léonard—Saint-Michel,Yea,Patricia,Lattanzio,Quebec,Liberal,true,false,false,Agreed To,104957
44,1,2022-03-24T18:13:00,47,Mr.,Argenteuil—La Petite-Nation,Yea,Stéphane,Lauzon,Quebec,Liberal,true,false,false,Agreed To,88394
44,1,2022-03-24T18:13:00,47,Mr.,Northumberland—Peterborough South,Nay,Philip,Lawrence,Ontario,Conservative,false,true,false,Agreed To,105291
44,1,2022-03-24T18:13:00,47,Mr.,Beauséjour,Yea,Dominic,LeBlanc,New Brunswick,Liberal,true,false,false,Agreed To,1813
44,1,2022-03-24T18:13:00,47,Mrs.,Gaspésie—Les Îles-de-la-Madeleine,Yea,Diane,Lebouthillier,Quebec,Liberal,true,false,false,Agreed To,88460
44,1,2022-03-24T18:13:00,47,Mr.,Beauce,Nay,Richard,Lehoux,Quebec,Conservative,false,true,false,Agreed To,104653
44,1,2022-03-24T18:13:00,47,Mr.,Abitibi—Témiscamingue,Yea,Sébastien,Lemire,Quebec,Bloc Québécois,true,false,false,Agreed To,104630
44,1,2022-03-24T18:13:00,47,Ms.,Haldimand—Norfolk,Nay,Leslyn,Lewis,Ontario,Conservative,false,true,false,Agreed To,88958
44,1,2022-03-24T18:13:00,47,Mr.,Essex,Nay,Chris,Lewis,Ontario,Conservative,false,true,false,Agreed To,105120
44,1,2022-03-24T18:13:00,47,Mr.,Calgary Signal Hill,Nay,Ron,Liepert,Alberta,Conservative,false,true,false,Agreed To,89139
44,1,2022-03-24T18:13:00,47,Mr.,Louis-Hébert,Yea,Joël,Lightbound,Quebec,Liberal,true,false,false,Agreed To,88532
44,1,2022-03-24T18:13:00,47,Mr.,Sturgeon River—Parkland,Nay,Dane,Lloyd,Alberta,Conservative,false,true,false,Agreed To,98079
